,num_bikeshares,fatalities_cyclists,fatalities_pedestrians,majorinjuries_cyclists,majorinjuries_pedestrians,minorinjuries_cyclists,minorinjuries_pedestrians,speeding,total_vehicles
105,4855,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
106,6521,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
107,8999,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0
108,11395,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
109,8692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
110,11567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
111,14040,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
112,13002,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
113,11816,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
114,7077,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
115,9174,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
116,13941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
117,10326,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
118,14901,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
119,8840,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
120,12334,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
121,14127,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
122,13932,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0
123,14163,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0
124,14120,0.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0
125,12252,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0
126,11412,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
127,13822,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
128,13857,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
129,14057,0.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0
130,13048,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
131,15029,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
132,14227,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
133,8256,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
134,10859,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
135,12454,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
136,6976,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0
137,4795,,,,,,,,
138,4776,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0
139,6798,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
140,14080,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
141,14627,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
142,8627,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0
143,14568,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0
144,14468,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
145,14825,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
146,12614,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
147,12974,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
148,12138,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
149,13341,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
150,12763,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
